run_id,key,value,step,timestamp
cd859daf50c342acb7c82255343a92e1,Correct prime,0,0,0
cd859daf50c342acb7c82255343a92e1,Correct prime,0.0041776676662266254,1,1
cd859daf50c342acb7c82255343a92e1,Correct prime,-0.0022140489891171455,2,2
cd859daf50c342acb7c82255343a92e1,Correct prime,0.005534905940294266,3,3
cd859daf50c342acb7c82255343a92e1,Correct prime,0.016325397416949272,4,4
cd859daf50c342acb7c82255343a92e1,Correct prime,0.0554998405277729,5,5
cd859daf50c342acb7c82255343a92e1,Correct prime,0.05395566299557686,6,6
cd859daf50c342acb7c82255343a92e1,Correct prime,0.053402166813611984,7,7
cd859daf50c342acb7c82255343a92e1,Correct prime,0.07652173936367035,8,8
cd859daf50c342acb7c82255343a92e1,Correct prime,0.11630486696958542,9,9
cd859daf50c342acb7c82255343a92e1,Correct prime,0.1495359092950821,10,10
cd859daf50c342acb7c82255343a92e1,Correct prime,0.148972287774086,11,11
cd859daf50c342acb7c82255343a92e1,Correct prime,0.1447540521621704,12,12
cd859daf50c342acb7c82255343a92e1,Correct prime,0.14018119871616364,13,13
cd859daf50c342acb7c82255343a92e1,Correct prime,0.13779523968696594,14,14
cd859daf50c342acb7c82255343a92e1,Correct prime,0.13556313514709473,15,15
cd859daf50c342acb7c82255343a92e1,Correct prime,0.1417587548494339,16,16
cd859daf50c342acb7c82255343a92e1,Correct prime,0.1557968407869339,17,17
cd859daf50c342acb7c82255343a92e1,Correct prime,0.19935068488121033,18,18
cd859daf50c342acb7c82255343a92e1,Correct prime,0.24129897356033325,19,19
cd859daf50c342acb7c82255343a92e1,Correct prime,0.2781117856502533,20,20
cd859daf50c342acb7c82255343a92e1,Correct prime,0.30323272943496704,21,21
cd859daf50c342acb7c82255343a92e1,Correct prime,0.3932628631591797,22,22
cd859daf50c342acb7c82255343a92e1,Correct prime,0.5121600031852722,23,23
cd859daf50c342acb7c82255343a92e1,Correct prime,0.6236063838005066,24,24
cd859daf50c342acb7c82255343a92e1,Correct prime,0.7363356351852417,25,25
cd859daf50c342acb7c82255343a92e1,Correct prime,0.845097541809082,26,26
cd859daf50c342acb7c82255343a92e1,Correct prime,0.946721076965332,27,27
cd859daf50c342acb7c82255343a92e1,Correct prime,1.040313720703125,28,28
cd859daf50c342acb7c82255343a92e1,Correct prime,1.125411868095398,29,29
cd859daf50c342acb7c82255343a92e1,Correct prime,1.2083299160003662,30,30
cd859daf50c342acb7c82255343a92e1,Correct prime,1.275767207145691,31,31
cd859daf50c342acb7c82255343a92e1,Correct prime,1.3472203016281128,32,32
cd859daf50c342acb7c82255343a92e1,Correct prime,1.4263365268707275,33,33
cd859daf50c342acb7c82255343a92e1,Correct prime,1.4890645742416382,34,34
cd859daf50c342acb7c82255343a92e1,Correct prime,1.536169409751892,35,35
cd859daf50c342acb7c82255343a92e1,Correct prime,1.5895488262176514,36,36
cd859daf50c342acb7c82255343a92e1,Correct prime,1.607130765914917,37,37
cd859daf50c342acb7c82255343a92e1,Correct prime,1.637800931930542,38,38
cd859daf50c342acb7c82255343a92e1,Correct prime,1.6972613334655762,39,39
cd859daf50c342acb7c82255343a92e1,Prime Max,0,0,0
cd859daf50c342acb7c82255343a92e1,Prime Max,0.06224830821156502,1,1
cd859daf50c342acb7c82255343a92e1,Prime Max,0.19328482449054718,2,2
cd859daf50c342acb7c82255343a92e1,Prime Max,0.2463465929031372,3,3
cd859daf50c342acb7c82255343a92e1,Prime Max,0.30994588136672974,4,4
cd859daf50c342acb7c82255343a92e1,Prime Max,0.3503873646259308,5,5
cd859daf50c342acb7c82255343a92e1,Prime Max,0.47614026069641113,6,6
cd859daf50c342acb7c82255343a92e1,Prime Max,0.5781601071357727,7,7
cd859daf50c342acb7c82255343a92e1,Prime Max,0.587498128414154,8,8
cd859daf50c342acb7c82255343a92e1,Prime Max,0.5774729251861572,9,9
cd859daf50c342acb7c82255343a92e1,Prime Max,0.5764670372009277,10,10
cd859daf50c342acb7c82255343a92e1,Prime Max,0.5645239353179932,11,11
cd859daf50c342acb7c82255343a92e1,Prime Max,0.5521095991134644,12,12
cd859daf50c342acb7c82255343a92e1,Prime Max,0.5397867560386658,13,13
cd859daf50c342acb7c82255343a92e1,Prime Max,0.5289649367332458,14,14
cd859daf50c342acb7c82255343a92e1,Prime Max,0.5193290710449219,15,15
cd859daf50c342acb7c82255343a92e1,Prime Max,0.520969569683075,16,16
cd859daf50c342acb7c82255343a92e1,Prime Max,0.5298995971679688,17,17
cd859daf50c342acb7c82255343a92e1,Prime Max,0.5418757796287537,18,18
cd859daf50c342acb7c82255343a92e1,Prime Max,0.5851860642433167,19,19
cd859daf50c342acb7c82255343a92e1,Prime Max,0.6047598719596863,20,20
cd859daf50c342acb7c82255343a92e1,Prime Max,0.6574323177337646,21,21
cd859daf50c342acb7c82255343a92e1,Prime Max,0.6480525135993958,22,22
cd859daf50c342acb7c82255343a92e1,Prime Max,0.6232527494430542,23,23
cd859daf50c342acb7c82255343a92e1,Prime Max,0.6236063838005066,24,24
cd859daf50c342acb7c82255343a92e1,Prime Max,0.7363356351852417,25,25
cd859daf50c342acb7c82255343a92e1,Prime Max,0.845097541809082,26,26
cd859daf50c342acb7c82255343a92e1,Prime Max,0.946721076965332,27,27
cd859daf50c342acb7c82255343a92e1,Prime Max,1.040313720703125,28,28
cd859daf50c342acb7c82255343a92e1,Prime Max,1.125411868095398,29,29
cd859daf50c342acb7c82255343a92e1,Prime Max,1.2083299160003662,30,30
cd859daf50c342acb7c82255343a92e1,Prime Max,1.275767207145691,31,31
