run_id,key,value,step,timestamp
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,0,0,0
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,0,1,1
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,0,2,2
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,0,3,3
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,1,4,4
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,1,5,5
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,1,6,6
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,1,7,7
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,1,8,8
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,1,9,9
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,1,10,10
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,1,11,11
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,1,12,12
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,1,13,13
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,1,14,14
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,1,15,15
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,2,16,16
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,3,17,17
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,4,18,18
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,5,19,19
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,5,20,20
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,6,21,21
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,7,22,22
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,8,23,23
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,9,24,24
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,10,25,25
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,11,26,26
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,12,27,27
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,13,28,28
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,14,29,29
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,15,30,30
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,16,31,31
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,17,32,32
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,18,33,33
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,19,34,34
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,20,35,35
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,21,36,36
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,22,37,37
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,23,38,38
286cec5d35574eb7ab5141897dd88424,Source Accumulated Top-1 Count,24,39,39
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,0,0,0
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,0,1,1
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,0,2,2
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,0,3,3
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,0,4,4
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,0,5,5
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,0,6,6
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,0,7,7
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,0,8,8
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,0,9,9
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,0,10,10
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,0,11,11
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,0,12,12
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,0,13,13
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,0,14,14
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,0,15,15
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,0,16,16
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,1,17,17
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,1,18,18
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,2,19,19
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,2,20,20
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,3,21,21
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,4,22,22
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,5,23,23
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,6,24,24
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,7,25,25
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,8,26,26
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,9,27,27
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,10,28,28
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,11,29,29
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,12,30,30
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,13,31,31
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,14,32,32
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,15,33,33
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,16,34,34
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,17,35,35
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,18,36,36
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,19,37,37
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,20,38,38
286cec5d35574eb7ab5141897dd88424,Target Accumulated Top-1 Count,21,39,39
286cec5d35574eb7ab5141897dd88424,Correct prime,0,0,0
286cec5d35574eb7ab5141897dd88424,Correct prime,0.008355335332453251,1,1
286cec5d35574eb7ab5141897dd88424,Correct prime,-0.005623459350317717,2,2
286cec5d35574eb7ab5141897dd88424,Correct prime,0.005325307138264179,3,3
286cec5d35574eb7ab5141897dd88424,Correct prime,0.019339021295309067,4,4
286cec5d35574eb7ab5141897dd88424,Correct prime,0.07951739430427551,5,5
286cec5d35574eb7ab5141897dd88424,Correct prime,0.06663424521684647,6,6
286cec5d35574eb7ab5141897dd88424,Correct prime,0.05376202240586281,7,7
286cec5d35574eb7ab5141897dd88424,Correct prime,0.08784064650535583,8,8
286cec5d35574eb7ab5141897dd88424,Correct prime,0.14967267215251923,9,9
286cec5d35574eb7ab5141897dd88424,Correct prime,0.1964893490076065,10,10
286cec5d35574eb7ab5141897dd88424,Correct prime,0.18424232304096222,11,11
286cec5d35574eb7ab5141897dd88424,Correct prime,0.16682524979114532,12,12
286cec5d35574eb7ab5141897dd88424,Correct prime,0.14963072538375854,13,13
286cec5d35574eb7ab5141897dd88424,Correct prime,0.1378421187400818,14,14
286cec5d35574eb7ab5141897dd88424,Correct prime,0.12751714885234833,15,15
286cec5d35574eb7ab5141897dd88424,Correct prime,0.13484646379947662,16,16
286cec5d35574eb7ab5141897dd88424,Correct prime,0.1572219878435135,17,17
286cec5d35574eb7ab5141897dd88424,Correct prime,0.23180773854255676,18,18
286cec5d35574eb7ab5141897dd88424,Correct prime,0.3018072247505188,19,19
286cec5d35574eb7ab5141897dd88424,Correct prime,0.36118078231811523,20,20
286cec5d35574eb7ab5141897dd88424,Correct prime,0.39795124530792236,21,21
286cec5d35574eb7ab5141897dd88424,Correct prime,0.5500552654266357,22,22
286cec5d35574eb7ab5141897dd88424,Correct prime,0.7424852848052979,23,23
286cec5d35574eb7ab5141897dd88424,Correct prime,0.8822208046913147,24,24
286cec5d35574eb7ab5141897dd88424,Correct prime,1.0178431272506714,25,25
286cec5d35574eb7ab5141897dd88424,Correct prime,1.1522479057312012,26,26
286cec5d35574eb7ab5141897dd88424,Correct prime,1.2617734670639038,27,27
286cec5d35574eb7ab5141897dd88424,Correct prime,1.334049105644226,28,28
286cec5d35574eb7ab5141897dd88424,Correct prime,1.3866099119186401,29,29
286cec5d35574eb7ab5141897dd88424,Correct prime,1.4467869997024536,30,30
286cec5d35574eb7ab5141897dd88424,Correct prime,1.4667272567749023,31,31
286cec5d35574eb7ab5141897dd88424,Correct prime,1.5381054878234863,32,32
286cec5d35574eb7ab5141897dd88424,Correct prime,1.6180552244186401,33,33
286cec5d35574eb7ab5141897dd88424,Correct prime,1.6342389583587646,34,34
286cec5d35574eb7ab5141897dd88424,Correct prime,1.6131001710891724,35,35
286cec5d35574eb7ab5141897dd88424,Correct prime,1.643250823020935,36,36
286cec5d35574eb7ab5141897dd88424,Correct prime,1.571932315826416,37,37
286cec5d35574eb7ab5141897dd88424,Correct prime,1.5503623485565186,38,38
286cec5d35574eb7ab5141897dd88424,Correct prime,1.6206066608428955,39,39
286cec5d35574eb7ab5141897dd88424,Prime Max,0,0,0
286cec5d35574eb7ab5141897dd88424,Prime Max,0.12449661642313004,1,1
286cec5d35574eb7ab5141897dd88424,Prime Max,0.37453117966651917,2,2
286cec5d35574eb7ab5141897dd88424,Prime Max,0.47352567315101624,3,3
286cec5d35574eb7ab5141897dd88424,Prime Max,0.5947080850601196,4,4
286cec5d35574eb7ab5141897dd88424,Prime Max,0.6684513092041016,5,5
286cec5d35574eb7ab5141897dd88424,Prime Max,0.8554983139038086,6,6
286cec5d35574eb7ab5141897dd88424,Prime Max,1.0165454149246216,7,7
286cec5d35574eb7ab5141897dd88424,Prime Max,1.0001275539398193,8,8
286cec5d35574eb7ab5141897dd88424,Prime Max,0.9287835955619812,9,9
286cec5d35574eb7ab5141897dd88424,Prime Max,0.8897812366485596,10,10
